name,time
Justin Spangler - Mi Duole | TurboTURBO,4228000
Jess Clapier,4229000
Josh Bradley [Mi Duole]ATP,4231000
Glen Gagon,4231000
Aiden Worth 2611,4231000
K VV {Mi DUOLE}ATP,4232000
Eric Ellis,4232000
Billy RappleyeTeam CRYO-GEN,4232000
Ryan Fogarty,4232000
Jason Lang [MiDuole],4232000
Matt Gulden (ATP)ATP,4232000
Matt DenisAmes Velo,4232000
Hyrum Nelson (Duke of Arrakis),4233000
Aaron Jordin (Mi Duole),4233000
Jack Boren ENVE | MI DUOLEATP,4234000
Jon Dalton • Mi Duole,4234000
Samuel Dearden,4287000
Mike Weber,4290000
Mitt Nieder(BrainStoke),4295000
Matt BradyZone5 Racing,4320000
Ryan Lott | Mi Duole,4475000
Brandon NelsonDIRT,4476000
Andy Compas | Mi Duole,4476000
Matt Bollinger (Mi Duole),4476000
Mark Hancock [DIRT]DIRT,4476000
Ryan Welch | Mi Duole,4476000
W StingerZone5 Racing,4476000
Ben Brooks (Mi Duole),4476000
Chris Harmon | Mi Duole,4477000
matt garner,4477000
Steve Low (DIRTy Rascals Fury)DIRT,4477000
Greg Low - Mi DuoleTeamODZ,4478000
Adam Uribe (Mi Duole),4478000
Taylor Cannon (Mi Duole),4478000
Jon Love [Mi Duole],4478000
Derek Bleazard | Mi Duole,4479000
Kris Aubrey | Mi Duole,4479000
Thomas Stockham,4481000
Ben Brinton,4490000
Stuart Anderson {Mi Duole},4523000
Tyler Servoss,4534000
Creighton Green,4535000
Chad Johansen | MI DUOLE |,4547000
Andrew MossFell Swoop,4564000
Mike Underhill (WSC),4600000
Matt Walker,4643000
Richard Borget 6722TEAM BMTR,4646000
Mike Johnston [MI DUOLE],4647000
Cortino Garcia (ODZ),4649000
Matt Dalton | Mi Duole,4649000
Alec Crestani | Mi Duole,4650000
Dave Sharp | MiDuole,4650000
Tyler Hawkins (Mi Duole),4651000
Adam O’Farrell,4651000
Mitch Webb(Mi Duole),4682000
Taylor Dame 575849TeamODZ,4695000
Bjorn Larson,4756000
Joe Massaro,4790000
Mitch World,4790000
Stockton Cannon,4791000
Miguelito Langito,4795000
Nate Sundh,4801000
Max Wilkinson,4838000
Brett Baumann (DIRT)DIRT,4839000
Dave Brinton|MiDuole,4841000
James BlairZone5 Racing,4841000
Preston Niederhauser,4842000
Steve Hunt (Mi Duole),4843000
Brigham Ballard | (Mi Duole),4843000
Erik Olson (Mi Duole),4885000
Jon Olson (Mi Duole),4997000
Jeremy Dixon SLTC,5065000
Jeremy Lucas,5092000
Sean Biggs (Mi Duole),5194000
Harrison Hawkes,5299000
Doug Bean,5317000
Chris UT [Mi Duole],5587000
Eddie Malmgren,5657000
K Anderson (Mi Duole),4478000
Camille Brinton,4843000
Jessica Nelson,4896000
Katie Bonebrake,5068000
Alexandra Worth,5105000
Rachel Orchard,5861000
