name,time
K. Anderson (Mi Duole),6437042
Camille Brinton,6869833
Katie Bonebrake,6463479
Jess Clapier,5045646
Justin Spangler - Mi Duole | TurboTURBO,5283583
K VV {Mi DUOLE}{Mi Duole},5265958
Matt DenisLHM,5341354
Josh Bradley [Mi Duole]ATP,5380521
Glen Gagon,5458854
Matt Gulden{Mi Duole},5307083
Jack Boren ENVE | MI DUOLE{Mi Duole},5655667
Ryan Fogarty,5699729
Eric Ellis,5784917
Thomas Stockham,5624333
Ryan Welch | Mi Duole,5756521
Jon Dalton • Mi Duole,5851500
Samuel Dearden,5819188
Mike Weber,5954313
Brandon NelsonDIRT,5778063
Chris Harmon | Mi Duole,6081604
Andy Compas | Mi Duole,6227500
Ryan Lott | Mi Duole,6266667
Aiden Worth 2611,6885500
Jon Love [Mi Duole],6145250
Ben Brooks (Mi Duole),6219667
Kris Aubrey | Mi Duole,6109021
Greg Low - Mi DuoleTeamODZ,6423333
Ben Brinton,6173646
Mitch Webb(Mi Duole),6185396
Stuart Anderson {Mi Duole},6264708
Matt Bollinger (Mi Duole),6404729
Nate Sundh,6022854
Joe Massaro,6198125
Cortino Garcia (ODZ),6266667
W StingerZone5 Racing,6513417
Stockton Cannon,6278417
Mitch World,6454667
Tyler Hawkins (Mi Duole),6481104
Mark Hancock [DIRT]DIRT,6709250
Adam O’Farrell,6436063
Taylor Cannon (Mi Duole),6532021
James BlairZone5 Racing,6219667
Dave Brinton|MiDuole,6626021
Harrison Hawkes,6278417
Mike Johnston [MI DUOLE],6668125
Matt Dalton | Mi Duole,6653438
Tyler Servoss,7137146
Andrew MossFell Swoop,7186104
Adam Uribe (Mi Duole),7708979
Chris UT [Mi Duole],7135188
Brigham Ballard | (Mi Duole),7524896
Steve Hunt (Mi Duole),7896000
Brett Baumann (DIRT)DIRT,7945938
Derek Bleazard | Mi Duole,8846771
Danny Van Wagoner,5062292
Michael Wasserstein,5351146
I.Vinardell [MCT]MCT,5733021
Florian BouwmanS R T,5835833
Toby BinghamTeamODZ,5914167
Aaron Jordin (Mi Duole),6090417
Fredrik Ringström [SZ]SZ,6165813
Dan Mills (Mi Doule Cycling),6377313
Creighton Green,6488938
Truman Ballard (Mi Duole),7223313
Corbin Rigby,7772625
Kaleb Rigby,8021333
Jay Carter {Mi Duole Cycling},8253396
Eddie Malmgren,10111854
